S.No,Rating,Review,Sentiment,Score
1,5,Good product,Positive,
2,1,"जो प्रोडक्ट मंगवाई है उसकी क्वालिटी बहुत poor है 
प्रोडक्ट में वूलन शो किया हुआ है लेकिन क्वालिटी बहुत निम्न स्तर की है वह वूलन है ही नहीं
यह कंपनी स्  read more",Negative,
3,1,Worst product with worst quality. It seemed used product was sent.,Negative,
4,3,Return policy please,Positive,
5,3,Dissappointed,Neutral,
6,5,Par dobara mangane par rate jyada kar diya,Neutral,
7,4,Price ke hisaab se good,Positive,
8,5,Good product 😁,Positive,
9,5,Size prb for change,Neutral,
10,4,Quantity good,Positive,
11,5,Super super super super super,Positive,
12,5,Good quality.,Positive,
13,4,I loved it 😍,Positive,
14,3,Good in febric,Positive,
15,2,"Ok just avarage stitching normal condition 
Ok",Positive,
16,1,"Bad quality product, fitting is very bad,",Negative,
17,1,"जो प्रोडक्ट मंगवाई है उसकी क्वालिटी बहुत poor है 
प्रोडक्ट में वूलन शो किया हुआ है लेकिन क्वालिटी बहुत निम्न स्तर की है वह वूलन है ही नहीं
यह कंपनी स्नैपडील की भी मार्केट डाउन कर रही है
मेरा उपभोक्ताओं से भी अनुरोध है कि यह प्रोडक्ट खरीदने से बचें",Negative,
18,4,Fabric is good,Positive,
19,4,"Only to be used as inner. Thin fabric ,not a sweatshirt.
But a larger size for comfortable fitting.",Positive,
20,3,☹️ achcha nahin hai,Neutral,
21,2,"It's not wollen as advertised, your brand is cheating us customers ... Very very sad n bad ... You must very seriously looking into it. This is a case of fraudulent advertisement n product sent ...",Negative,
22,4,good colour,Positive,
23,5,WINTER KA LIA  ACHA HA YA,Positive,
24,5,size bhi acha qwwaliy value for money,Positive,
25,5,qwality is good,Positive,
26,3,Neck could have been broder,Neutral,
27,1,Lokal Quality,Neutral,
